individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
4,63109,44.878166,-66.851333,WHALE-RIGHT
4,70183,44.639333,-66.651,WHALE-RIGHT
4,70150,44.58,-66.4865,WHALE-RIGHT
4,67910,44.688,-66.5075,WHALE-RIGHT
4,67922,44.6455,-66.5075,WHALE-RIGHT
4,67882,44.679,-66.563,WHALE-RIGHT
4,67908,44.692666,-66.506166,WHALE-RIGHT
4,67904,44.717833,-66.526333,WHALE-RIGHT
4,67888,44.715,-66.5385,WHALE-RIGHT
4,69425,44.616666,-66.5515,WHALE-RIGHT
4,69446,44.606,-66.559833,WHALE-RIGHT
4,69443,44.581166,-66.575333,WHALE-RIGHT
4,69423,44.6,-66.5365,WHALE-RIGHT
4,69538,44.557166,-66.499666,WHALE-RIGHT
4,69502,44.565666,-66.495166,WHALE-RIGHT
4,69638,44.599666,-66.481166,WHALE-RIGHT
4,69601,44.653333,-66.487666,WHALE-RIGHT
4,69598,44.640833,-66.481166,WHALE-RIGHT
4,69749,44.650833,-66.449166,WHALE-RIGHT
4,69765,44.69,-66.4635,WHALE-RIGHT
4,69750,44.648666,-66.453333,WHALE-RIGHT
4,69900,44.580333,-66.515833,WHALE-RIGHT
4,69877,44.603666,-66.465333,WHALE-RIGHT
4,69868,44.636833,-66.521166,WHALE-RIGHT
4,69995,44.576666,-66.558,WHALE-RIGHT
4,70149,44.5845,-66.478833,WHALE-RIGHT
4,70119,44.573666,-66.530833,WHALE-RIGHT
4,39511,44.1875,-66.535,WHALE-RIGHT
4,117232,47.906166,-65.239166,WHALE-RIGHT
4,119700,43.744333,-62.6,WHALE-RIGHT
4,23389,44.641666,-66.4565,WHALE-RIGHT
4,23390,44.639166,-66.4535,WHALE-RIGHT
4,23391,44.6515,-66.4415,WHALE-RIGHT
4,23387,44.688333,-66.553333,WHALE-RIGHT
4,23381,44.6305,-66.501333,WHALE-RIGHT
4,23388,44.648833,-66.457666,WHALE-RIGHT
4,23382,44.642166,-66.411666,WHALE-RIGHT
4,23372,44.558166,-66.518666,WHALE-RIGHT
4,23379,44.6545,-66.4635,WHALE-RIGHT
4,23386,44.647666,-66.463166,WHALE-RIGHT
4,23374,44.571666,-66.462666,WHALE-RIGHT
4,23384,44.681166,-66.4525,WHALE-RIGHT
4,23378,44.646666,-66.465,WHALE-RIGHT
4,23377,44.635666,-66.481,WHALE-RIGHT
4,23371,44.622333,-66.656333,WHALE-RIGHT
4,23385,44.664833,-66.436,WHALE-RIGHT
4,23376,44.6305,-66.517833,WHALE-RIGHT
4,23380,44.644833,-66.505,WHALE-RIGHT
4,23373,44.541666,-66.520166,WHALE-RIGHT
4,23383,44.646833,-66.570666,WHALE-RIGHT
4,23370,44.612833,-66.481833,WHALE-RIGHT
